Timestamp,Alert Type,Details
2025-03-29 00:03:34.000813,ARP Poisoning,ARP Poisoning Detected! IP: 11.12.3.27 MAC: a6:b4:20:9d:bd:2a
2025-03-29 00:03:36.252779,ARP Poisoning,ARP Poisoning Detected! IP: 11.12.20.161 MAC: 2e:89:ac:d6:ad:50
2025-03-29 00:04:45.005753,Exfliteration,"Potential Data Exfiltration: 20.189.173.23 -> 11.12.7.144, Size: 1514 bytes"
2025-03-29 00:04:45.012753,Exfliteration,"Potential Data Exfiltration: 20.189.173.23 -> 11.12.7.144, Size: 1514 bytes"
2025-03-29 00:04:45.017761,Exfliteration,"Potential Data Exfiltration: 20.189.173.23 -> 11.12.7.144, Size: 1514 bytes"
2025-03-29 00:04:45.023754,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 20.189.173.23, Size: 1494 bytes"
2025-03-29 00:04:45.418042,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 140.82.112.22, Size: 1490 bytes"
2025-03-29 00:04:45.420043,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 140.82.112.22, Size: 1490 bytes"
2025-03-29 00:04:45.422110,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 140.82.112.22, Size: 1170 bytes"
2025-03-29 00:04:47.135925,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 20.189.173.2, Size: 1494 bytes"
2025-03-29 00:04:47.139925,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 20.189.173.2, Size: 1494 bytes"
2025-03-29 00:04:47.141922,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 20.189.173.2, Size: 1494 bytes"
2025-03-29 00:29:42.668149,credential found,"[('username', 'test')]"
2025-03-29 00:30:04.867091,credential found,"[('username', 'test&password=tested')]"
2025-03-29 11:33:21.782618,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 52.123.128.14, Size: 1014 bytes"
2025-03-29 11:33:21.817864,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 52.123.128.14, Size: 1080 bytes"
2025-03-29 11:33:21.826108,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 52.123.128.14, Size: 1494 bytes"
2025-03-29 11:33:23.475926,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1514 bytes"
2025-03-29 11:33:23.479720,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1514 bytes"
2025-03-29 11:33:23.496459,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1514 bytes"
2025-03-29 11:33:23.504687,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1514 bytes"
2025-03-29 11:33:23.512879,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1149 bytes"
2025-03-29 11:33:23.521131,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1514 bytes"
2025-03-29 11:33:23.529307,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1514 bytes"
2025-03-29 11:33:23.529307,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1459 bytes"
2025-03-29 11:33:23.537473,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1514 bytes"
2025-03-29 11:33:23.545602,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1514 bytes"
2025-03-29 11:33:23.545602,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1514 bytes"
2025-03-29 11:33:23.553791,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1514 bytes"
2025-03-29 11:33:23.553791,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1222 bytes"
2025-03-29 11:33:23.570471,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1514 bytes"
2025-03-29 11:33:23.570471,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1514 bytes"
2025-03-29 11:33:23.570471,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1514 bytes"
2025-03-29 11:33:23.578605,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1514 bytes"
2025-03-29 11:33:23.586860,Exfliteration,"Potential Data Exfiltration: 104.81.138.24 -> 11.12.7.144, Size: 1514 bytes"
2025-03-29 11:33:23.586860,Exfliteration,"Potential Data Exfiltration: 104.81.138.24 -> 11.12.7.144, Size: 1514 bytes"
2025-03-29 11:33:23.595071,Exfliteration,"Potential Data Exfiltration: 104.81.138.24 -> 11.12.7.144, Size: 1230 bytes"
2025-03-29 11:33:23.595071,Exfliteration,"Potential Data Exfiltration: 104.81.138.24 -> 11.12.7.144, Size: 1514 bytes"
2025-03-29 11:33:23.603271,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1514 bytes"
2025-03-29 11:33:23.603271,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1514 bytes"
2025-03-29 11:33:23.614271,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1514 bytes"
2025-03-29 11:33:23.617405,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1514 bytes"
2025-03-29 11:33:23.619538,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1514 bytes"
2025-03-29 11:33:23.627636,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1514 bytes"
2025-03-29 11:33:23.719274,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1212 bytes"
2025-03-29 11:33:23.724536,Exfliteration,"Potential Data Exfiltration: 40.100.141.162 -> 11.12.7.144, Size: 1514 bytes"
2025-03-29 11:33:23.730096,Exfliteration,"Potential Data Exfiltration: 40.100.141.162 -> 11.12.7.144, Size: 1514 bytes"
2025-03-29 11:33:23.733872,Exfliteration,"Potential Data Exfiltration: 40.100.141.162 -> 11.12.7.144, Size: 1514 bytes"
2025-03-29 11:33:23.742873,Exfliteration,"Potential Data Exfiltration: 40.100.141.162 -> 11.12.7.144, Size: 1128 bytes"
2025-03-29 11:33:23.750223,Exfliteration,"Potential Data Exfiltration: 40.100.141.162 -> 11.12.7.144, Size: 1514 bytes"
2025-03-29 11:33:23.753737,Exfliteration,"Potential Data Exfiltration: 40.100.141.162 -> 11.12.7.144, Size: 1514 bytes"
2025-03-29 11:33:23.763955,Exfliteration,"Potential Data Exfiltration: 52.111.252.7 -> 11.12.7.144, Size: 1514 bytes"
2025-03-29 11:33:23.771018,Exfliteration,"Potential Data Exfiltration: 52.111.252.7 -> 11.12.7.144, Size: 1514 bytes"
2025-03-29 11:33:23.783340,Exfliteration,"Potential Data Exfiltration: 52.111.252.7 -> 11.12.7.144, Size: 1514 bytes"
2025-03-29 11:33:23.783340,Exfliteration,"Potential Data Exfiltration: 52.111.252.7 -> 11.12.7.144, Size: 1514 bytes"
2025-03-29 11:33:23.800451,Exfliteration,"Potential Data Exfiltration: 40.100.141.162 -> 11.12.7.144, Size: 1514 bytes"
2025-03-29 11:33:23.807520,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 52.111.252.7, Size: 1494 bytes"
2025-03-29 11:33:23.817464,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1514 bytes"
2025-03-29 11:33:23.828169,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1514 bytes"
2025-03-29 11:33:23.832361,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1514 bytes"
2025-03-29 11:33:23.836408,Exfliteration,"Potential Data Exfiltration: 11.12.7.144 -> 40.100.141.162, Size: 1514 bytes"
